ID,Área,Caso de prueba,Dispositivo,Pasos,Resultado esperado,Resultado real,Estado,Notas
U01,Navegación,Carga inicial EN,Desktop,"1. Abrir https://aglaya.biz/","Página carga en <3s, hero visible, animaciones arrancan",,Pendiente,
U02,Navegación,Carga inicial ES,Desktop,"1. Abrir https://aglaya.biz/es/","Página carga en <3s, hero en español visible",,Pendiente,
U03,Navegación,Cambio de idioma EN→ES,Desktop,"1. En /, clic en botón ES","Redirige a /es/, contenido en español",,Pendiente,
U04,Navegación,Cambio de idioma ES→EN,Desktop,"1. En /es/, clic en botón EN","Redirige a /, contenido en inglés",,Pendiente,
U05,Navegación,Scroll suave al formulario,Desktop,"1. Clic en 'Get in Touch'","Scroll suave hasta sección #contact",,Pendiente,
U06,Navegación,Scroll suave al formulario,Mobile,"1. Clic en 'Get in Touch'","Scroll suave hasta sección #contact",,Pendiente,
U07,Header,Logo visible,Desktop,"1. Cargar /","Logo AGLAYA visible en header",,Pendiente,
U08,Header,Logo visible,Mobile (375px),"1. Cargar /","Logo visible sin recorte",,Pendiente,
U09,Header,WhatsApp botón desktop,Desktop,"1. Hover sobre botón WhatsApp","Ring glow animado, cursor pointer",,Pendiente,
U10,Header,WhatsApp botón mobile,Mobile,"1. Ver header","Solo icono, sin texto, bien alineado",,Pendiente,
U11,Hero,Animación scanline,Desktop,"1. Cargar /, esperar 2s","Línea roja recorre la pantalla de arriba a abajo en loop",,Pendiente,
U12,Hero,Animación palabras,Desktop,"1. Cargar /","THE / UNCOMFORTABLE / AGENCY aparecen una a una desde abajo",,Pendiente,
U13,Hero,Cursor glow,Desktop,"1. Mover ratón por el hero","Halo rojo sigue al cursor",,Pendiente,
U14,Hero,Marquee servicios,Desktop,"1. Ver parte inferior del hero","Servicios desfilan en bucle, hover ilumina el item",,Pendiente,
U15,Hero,Marquee servicios,Mobile,"1. Ver parte inferior del hero","Marquee visible y animado",,Pendiente,
U16,Formulario,Validación email vacío,Desktop,"1. Dejar email en blanco, enviar","Formulario no se envía",,Pendiente,
U17,Formulario,Validación mensaje vacío,Desktop,"1. Dejar mensaje en blanco, enviar","Formulario no se envía",,Pendiente,
U18,Formulario,hCaptcha challenge,Desktop,"1. Cargar la sección de contacto","Widget hCaptcha aparece con tema oscuro (data-theme='dark')",,Pendiente,
U19,Formulario,Botón deshabilitado inicial,Desktop,"1. Ver botón SEND MESSAGE antes de completar hCaptcha","Botón aparece en estado deshabilitado (opacity 50%) hasta que hCaptcha emite token",,Pendiente,
U20,Formulario,Envío exitoso,Desktop,"1. Rellenar todos los campos + pasar hCaptcha, enviar","Formulario desaparece, mensaje de éxito verde visible","2 pruebas exitosas completadas","2/3 — En progreso","2 pruebas exitosas (EN + ES). 1 pendiente."
U21,Formulario,Error de servidor,Desktop,"1. Simular fallo de red antes de enviar","Mensaje de error rojo visible, botón se reactiva",,Pendiente,
U22,Formulario,Focus state inputs,Desktop,"1. Clic en cada campo","Borde rojo translúcido en el campo activo",,Pendiente,
U23,Formulario,Mobile layout,Mobile (375px),"1. Navegar a sección contacto","Campos full-width, botón full-width, sin desbordamiento",,Pendiente,
U24,WhatsApp CTA,Enlace externo hero,Desktop,"1. Clic en botón WhatsApp del hero","Abre wa.me en nueva pestaña",,Pendiente,
U25,WhatsApp CTA,Enlace externo header,Mobile,"1. Clic en icono WhatsApp del header","Abre wa.me (o app WhatsApp en móvil)",,Pendiente,
U26,Responsive,Tablet (768px),Tablet,"1. Redimensionar a 768px","No hay overflow horizontal, layout correcto",,Pendiente,
U27,Responsive,Mobile pequeño (320px),Mobile (320px),"1. Cargar en 320px de ancho","Sin scroll horizontal, sin elementos cortados",,Pendiente,
U28,Performance,Sin scroll horizontal,Desktop,"1. Cargar /, no usar scroll horizontal","No aparece scrollbar horizontal",,Pendiente,
U29,ES específico,Textos en español,Mobile,"1. Abrir /es/","'Próximamente', 'La Agencia Incómoda', 'Escríbenos' visibles",,Pendiente,
U30,ES específico,Scroll a #contacto,Mobile,"1. Clic en 'Escríbenos' en /es/","Scroll a sección con id='contacto'",,Pendiente,
U31,Cookie banner,Primera visita (incógnito),Desktop,"1. Abrir en incógnito 2. Navegar a /","Banner aparece desde abajo con animación slide-up",,Pendiente,
U32,Cookie banner,Aceptar todas,Desktop,"1. Ver banner 2. Clic en 'Accept all'","Banner desaparece, localStorage['aglaya_cookie_consent'] = 'all'",,Pendiente,
U33,Cookie banner,Solo esenciales,Desktop,"1. Ver banner 2. Clic en 'Essential only'","Banner desaparece, localStorage['aglaya_cookie_consent'] = 'essential'",,Pendiente,
U34,Cookie banner,No reaparece tras decisión,Desktop,"1. Recargar tras aceptar","Banner no vuelve a aparecer",,Pendiente,
U35,Cookie banner,Versión ES,Desktop,"1. Abrir /es/ en incógnito","Textos en español: 'Aceptar todas' / 'Solo esenciales'",,Pendiente,
U36,Cookie banner,Mobile layout,Mobile (375px),"1. Abrir en incógnito en móvil","Botones full-width apilados, sin overflow",,Pendiente,
U37,Email,Confirmación EN — diseño,Desktop,"1. Enviar formulario en /","Email con barra roja, // TRANSMISSION RECEIVED, headline 'We''ve got your signal.'",,Pendiente,
U38,Email,Confirmación ES — diseño,Desktop,"1. Enviar formulario en /es/","Email con // TRANSMISIÓN RECIBIDA, headline 'Tu mensaje ha llegado.', footer en español",,✅ Pasado,Prueba 2 — correo en español recibido
